"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 11 14:26:25 GMT 2024","Fri Oct 11 14:26:25 GMT 2024","237","test.teams","test_get_teams","","","","test_get_teams_with_valid_orderby_returns_ordered_results_200",""
"passed","Fri Oct 11 14:26:29 GMT 2024","Fri Oct 11 14:26:29 GMT 2024","216","test.teams","test_post_team","","","","test_create_team_with_valid_name_returns_201",""
"passed","Fri Oct 11 14:26:50 GMT 2024","Fri Oct 11 14:26:51 GMT 2024","204","test.users","test_get_users","","","","test_list_users_with_api_type_returns_200",""
"passed","Fri Oct 11 14:26:57 GMT 2024","Fri Oct 11 14:26:58 GMT 2024","238","test.users","test_post_user","","","","test_create_user_with_invalid_layout_set_id_returns_400",""
"passed","Fri Oct 11 14:27:00 GMT 2024","Fri Oct 11 14:27:00 GMT 2024","210","test.users","test_put_user","","","","test_update_user_with_invalid_email_address_returns_400",""
"passed","Fri Oct 11 14:26:25 GMT 2024","Fri Oct 11 14:26:26 GMT 2024","169","test.teams","test_get_teams","","","","test_get_teams_with_order_asc_returns_ascending_results_200",""
"passed","Fri Oct 11 14:26:46 GMT 2024","Fri Oct 11 14:26:46 GMT 2024","176","test.teams","test_put_team","","","","test_user_without_permissions_cannot_update_team_returns_403",""
"passed","Fri Oct 11 14:26:31 GMT 2024","Fri Oct 11 14:26:31 GMT 2024","205","test.teams","test_post_team","","","","test_create_team_with_valid_position_list_returns_200",""
"passed","Fri Oct 11 14:26:38 GMT 2024","Fri Oct 11 14:26:38 GMT 2024","190","test.teams","test_put_team","","","","test_update_team_with_max_length_name_returns_200",""
"passed","Fri Oct 11 14:26:23 GMT 2024","Fri Oct 11 14:26:23 GMT 2024","257","test.teams","test_get_team","","","","test_user_without_permissions_cannot_view_team_returns_403",""
"passed","Fri Oct 11 14:26:46 GMT 2024","Fri Oct 11 14:26:46 GMT 2024","163","test.users","test_delete_user","","","","test_delete_user_with_valid_id_returns_200",""
"passed","Fri Oct 11 14:26:54 GMT 2024","Fri Oct 11 14:26:54 GMT 2024","166","test.users","test_post_user","","","","test_create_user_with_last_name_exceeding_100_characters_returns_error",""
"passed","Fri Oct 11 14:26:46 GMT 2024","Fri Oct 11 14:26:47 GMT 2024","177","test.users","test_delete_user","","","","test_delete_user_with_nonexistent_id_returns_404",""
"passed","Fri Oct 11 14:27:03 GMT 2024","Fri Oct 11 14:27:03 GMT 2024","164","test.users","test_put_user","","","","test_update_user_with_nonexistent_user_id_returns_404",""
